UF,Município,Região,Nota,Colocação,Delta colocação,Data,Colocação ranking geral invertido
SP,Birigui,Sudeste,"53,028539366838935",135,-20,jun./2023,-135
SP,Botucatu,Sudeste,"57,993004508909316",30,17,jun./2023,-30
SP,Bragança Paulista,Sudeste,"55,55517285562398",75,-5,jun./2023,-75
SP,Caçapava,Sudeste,"53,36845066898711",127,39,jun./2023,-127
SP,Caieiras,Sudeste,"53,29458283033917",129,-19,jun./2023,-129
SP,Cajamar,Sudeste,"54,75515956163134",90,0,jun./2023,-90
SP,Campinas,Sudeste,"62,28882093678611",7,0,jun./2023,-7
SP,Campo Limpo Paulista,Sudeste,"50,659535972784106",193,-22,jun./2023,-193
SP,Caraguatatuba,Sudeste,"56,25029588935147",64,-26,jun./2023,-64
SP,Carapicuíba,Sudeste,"49,21140951638484",228,41,jun./2023,-228
SP,Catanduva,Sudeste,"56,059524634944964",66,-14,jun./2023,-66
SP,Cotia,Sudeste,"53,22821704042817",132,-11,jun./2023,-132
SP,Cubatão,Sudeste,"51,92596417457483",166,29,jun./2023,-166
SP,Diadema,Sudeste,"52,28538518898348",155,37,jun./2023,-155
SP,Embu das Artes,Sudeste,"46,74773746700448",273,40,jun./2023,-273
SP,Ferraz de Vasconcelos,Sudeste,"49,79950978047586",212,35,jun./2023,-212
SP,Franca,Sudeste,"55,75557362",70,15,jun./2023,-70
SP,Francisco Morato,Sudeste,"48,625960648468876",240,23,jun./2023,-240
SP,Franco da Rocha,Sudeste,"49,700721255488816",215,8,jun./2023,-215
SP,Guaratinguetá,Sudeste,"52,33314694829183",154,8,jun./2023,-154
SP,Guarujá,Sudeste,"51,42375474664945",183,-7,jun./2023,-183
SP,Guarulhos,Sudeste,"51,816857836917464",171,8,jun./2023,-171
SP,Hortolândia,Sudeste,"55,0252202",86,-25,jun./2023,-86
SP,Ibiúna,Sudeste,"42,74664430289187",346,-37,jun./2023,-346
SP,Indaiatuba,Sudeste,"59,22520058",19,-3,jun./2023,-19
SP,Itanhaém,Sudeste,"51,21684271681396",186,-36,jun./2023,-186
SP,Itapecerica da Serra,Sudeste,"48,18700486434318",247,36,jun./2023,-247
SP,Itapetininga,Sudeste,"53,96038717272429",103,49,jun./2023,-103
SP,Itapeva,Sudeste,"49,07082199522923",231,-53,jun./2023,-231
SP,Itapevi,Sudeste,"50,39327902617861",200,1,jun./2023,-200
SP,Itaquaquecetuba,Sudeste,"48,44185558837923",243,-3,jun./2023,-243
SP,Itatiba,Sudeste,"56,603695551925995",57,-14,jun./2023,-57
SP,Itu,Sudeste,"52,73866777144758",142,-46,jun./2023,-142
SP,Jacareí,Sudeste,"55,683166462573936",71,-34,jun./2023,-71
SP,Jandira,Sudeste,"51,304783142847654",184,52,jun./2023,-184
SP,Jaú,Sudeste,"52,65352588730156",143,-16,jun./2023,-143
SP,Jundiaí,Sudeste,"59,73010306715059",16,-2,jun./2023,-16
SP,Leme,Sudeste,"54,36465931011744",94,-29,jun./2023,-94
SP,Limeira,Sudeste,"55,841103217306994",69,-34,jun./2023,-69
SP,Lorena,Sudeste,"56,25135783673282",63,39,jun./2023,-63
SP,Mairiporã,Sudeste,"50,11008182655752",205,34,jun./2023,-205
SP,Marília,Sudeste,"55,62378978277664",74,0,jun./2023,-74
SP,Mauá,Sudeste,"50,26216918500844",203,-1,jun./2023,-203
SP,Mogi das Cruzes,Sudeste,"53,271832066406496",130,8,jun./2023,-130
SP,Mogi Guaçu,Sudeste,"53,51986479200996",123,-24,jun./2023,-123
SP,Mogi Mirim,Sudeste,"55,21038633185314",81,27,jun./2023,-81
SP,Osasco,Sudeste,"57,42841272881365",36,-2,jun./2023,-36
SP,Ourinhos,Sudeste,"53,99514978047966",102,41,jun./2023,-102
SP,Paulínia,Sudeste,"56,31227452798243",61,7,jun./2023,-61
SP,Pindamonhangaba,Sudeste,"53,82253106092958",109,0,jun./2023,-109
SP,Piracicaba,Sudeste,"58,83473453106444",23,-2,jun./2023,-23
SP,Poá,Sudeste,"51,86758824413669",168,7,jun./2023,-168
SP,Praia Grande,Sudeste,"54,85932648952441",88,-29,jun./2023,-88
SP,Presidente Prudente,Sudeste,"55,11708945746949",83,-5,jun./2023,-83
SP,Ribeirão Pires,Sudeste,"53,49507554398916",125,28,jun./2023,-125
SP,Ribeirão Preto,Sudeste,"58,44218348232672",24,-2,jun./2023,-24
SP,Rio Claro,Sudeste,"50,947703700016035",187,-70,jun./2023,-187
SP,Salto,Sudeste,"52,24166341",157,-53,jun./2023,-157
SP,Santa Bárbara d'Oeste,Sudeste,"53,559565254681274",119,7,jun./2023,-119
SP,Santana de Parnaíba,Sudeste,"61,16075289897774",9,-1,jun./2023,-9
SP,Santo André,Sudeste,"55,63856187955082",73,-9,jun./2023,-73
SP,Santos,Sudeste,"60,76649780516422",10,1,jun./2023,-10
SP,São Bernardo do Campo,Sudeste,"60,220575216779196",14,3,jun./2023,-14
SP,São Caetano do Sul,Sudeste,"63,157174519467176",5,-2,jun./2023,-5
SP,São Carlos,Sudeste,"59,10830957220245",21,-8,jun./2023,-21
SP,São João da Boa Vista,Sudeste,"56,94543764516058",44,-4,jun./2023,-44
SP,São José do Rio Preto,Sudeste,"59,12059331248561",20,13,jun./2023,-20
SP,São José dos Campos,Sudeste,"56,998465965124595",42,-17,jun./2023,-42
SP,São Paulo,Sudeste,"64,38849685423995",2,3,jun./2023,-2
SP,São Roque,Sudeste,"46,696625222156605",275,-126,jun./2023,-275
SP,São Sebastião,Sudeste,"56,76153825308477",51,9,jun./2023,-51
SP,São Vicente,Sudeste,"49,45056904985468",221,22,jun./2023,-221
SP,Sertãozinho,Sudeste,"55,544039364606846",76,15,jun./2023,-76
SP,Sorocaba,Sudeste,"56,92210925671738",45,-13,jun./2023,-45
SP,Sumaré,Sudeste,"51,522751664889704",178,8,jun./2023,-178
SP,Suzano,Sudeste,"52,199396544154176",158,23,jun./2023,-158
SP,Taboão da Serra,Sudeste,"51,79569481148165",173,11,jun./2023,-173
SP,Tatuí,Sudeste,"53,329473717317526",128,0,jun./2023,-128
SP,Taubaté,Sudeste,"55,230623266453954",80,-7,jun./2023,-80
SP,Ubatuba,Sudeste,"51,50770370577717",179,31,jun./2023,-179
SP,Valinhos,Sudeste,"55,67207207240783",72,-10,jun./2023,-72
SP,Várzea Paulista,Sudeste,"50,41833136341455",198,10,jun./2023,-198
SP,Vinhedo,Sudeste,"58,33717386890196",25,4,jun./2023,-25
SP,Votorantim,Sudeste,"49,56221150796111",217,-54,jun./2023,-217
SP,Votuporanga,Sudeste,"58,99411468658319",22,-3,jun./2023,-22
PR,Almirante Tamandaré,Sul,"44,80733457513516",306,-3,jun./2023,-306
PR,Apucarana,Sul,"52,51749917487391",148,-24,jun./2023,-148
PR,Arapongas,Sul,"49,37433925444198",225,-12,jun./2023,-225
PR,Araucária,Sul,"54,0891064",100,0,jun./2023,-100
PR,Cambé,Sul,"52,584239988582866",146,12,jun./2023,-146
PR,Campo Largo,Sul,"52,37555376778563",153,14,jun./2023,-153
PR,Campo Mourão,Sul,"54,81946531657978",89,-14,jun./2023,-89
PR,Cascavel,Sul,"56,67815513058305",55,3,jun./2023,-55
PR,Cianorte,Sul,"51,79700073509732",172,-66,jun./2023,-172
PR,Colombo,Sul,"47,564124281315536",261,-45,jun./2023,-261
PR,Curitiba,Sul,"62,69111390435283",6,0,jun./2023,-6
PR,Fazenda Rio Grande,Sul,"49,945006726507884",211,-2,jun./2023,-211
PR,Foz do Iguaçu,Sul,"53,87268303814575",105,2,jun./2023,-105
PR,Francisco Beltrão,Sul,"56,55710351377838",58,8,jun./2023,-58
PR,Guarapuava,Sul,"51,977035869533495",164,0,jun./2023,-164
PR,Londrina,Sul,"58,14761566243207",26,28,jun./2023,-26
PR,Maringá,Sul,"60,74681073470181",11,4,jun./2023,-11
PR,Paranaguá,Sul,"47,70216114081972",255,-52,jun./2023,-255
PR,Paranavaí,Sul,"57,01374521900472",40,40,jun./2023,-40
PR,Pato Branco,Sul,"56,27000548619484",62,-23,jun./2023,-62
PR,Pinhais,Sul,"56,69448786",54,27,jun./2023,-54
PR,Piraquara,Sul,"47,637730892974005",259,0,jun./2023,-259
PR,Ponta Grossa,Sul,"54,29222126174099",96,-9,jun./2023,-96
PR,São José dos Pinhais,Sul,"53,632522512313784",115,22,jun./2023,-115
PR,Sarandi,Sul,"46,29105092368514",281,-31,jun./2023,-281
PR,Toledo,Sul,"55,03702431311467",85,-18,jun./2023,-85
PR,Umuarama,Sul,"54,28053260033671",97,-13,jun./2023,-97
SC,Balneário Camboriú,Sul,"60,48220919766046",13,5,jun./2023,-13
SC,Blumenau,Sul,"60,13375690430863",15,-5,jun./2023,-15
SC,Brusque,Sul,"55,19742780515577",82,-19,jun./2023,-82
SC,Camboriú,Sul,"52,50140954331562",149,11,jun./2023,-149
SC,Chapecó,Sul,"57,04450992642437",39,-8,jun./2023,-39
SC,Concórdia,Sul,"54,63269615982788",91,0,jun./2023,-91
SC,Criciúma,Sul,"59,22580691117198",18,5,jun./2023,-18
SC,Florianópolis,Sul,"65,92119686145462",1,1,jun./2023,-1
SC,Itajaí,Sul,"55,87523098",68,-24,jun./2023,-68
SC,Jaraguá do Sul,Sul,"59,666989222728034",17,3,jun./2023,-17
SC,Joinville,Sul,"57,64042037671912",32,-4,jun./2023,-32
SC,Lages,Sul,"53,59890562296937",117,-45,jun./2023,-117
SC,Navegantes,Sul,"53,11994707224426",133,37,jun./2023,-133
SC,Palhoça,Sul,"53,87723129829043",104,12,jun./2023,-104
SC,São Bento do Sul,Sul,"56,920744439246455",46,3,jun./2023,-46
SC,São José,Sul,"55,238970105198135",78,-22,jun./2023,-78
SC,Tubarão,Sul,"56,78148089358887",50,53,jun./2023,-50
RS,Alvorada,Sul,"46,78114130978701",272,22,jun./2023,-272
RS,Bagé,Sul,"43,707780443260525",332,-67,jun./2023,-332
RS,Bento Gonçalves,Sul,"55,06017279819586",84,-1,jun./2023,-84
RS,Cachoeirinha,Sul,"51,831137177315995",170,65,jun./2023,-170
RS,Canoas,Sul,"51,648669200064276",176,-7,jun./2023,-176
RS,Caxias do Sul,Sul,"56,02064870284275",67,-25,jun./2023,-67
RS,Erechim,Sul,"53,80084869239967",110,37,jun./2023,-110
RS,Gravataí,Sul,"50,41827505980365",199,1,jun./2023,-199
RS,Guaíba,Sul,"50,03642576936883",207,21,jun./2023,-207
RS,Ijuí,Sul,"56,75311024296592",52,34,jun./2023,-52
RS,Lajeado,Sul,"57,486727413099665",34,-10,jun./2023,-34
RS,Novo Hamburgo,Sul,"53,63935610507721",114,8,jun./2023,-114
RS,Passo Fundo,Sul,"52,47161179614905",150,-2,jun./2023,-150
RS,Pelotas,Sul,"52,73966223118616",141,-7,jun./2023,-141
RS,Porto Alegre,Sul,"63,29994175551085",4,0,jun./2023,-4
RS,Rio Grande,Sul,"49,43603539362504",222,33,jun./2023,-222
RS,Santa Cruz do Sul,Sul,"53,537120413780436",120,3,jun./2023,-120
RS,Santa Maria,Sul,"54,230137973084396",98,-5,jun./2023,-98
RS,Sant'Ana do Livramento,Sul,"43,85748040805672",329,0,jun./2023,-329
RS,São Leopoldo,Sul,"54,31259657624673",95,18,jun./2023,-95
RS,Sapucaia do Sul,Sul,"48,46512322194853",242,-21,jun./2023,-242
RS,Uruguaiana,Sul,"45,641641253243165",293,-6,jun./2023,-293
RS,Viamão,Sul,"44,516899106690694",313,6,jun./2023,-313
MS,Campo Grande,Centro-Oeste,"54,39899965751016",92,-3,jun./2023,-92
MS,Corumbá,Centro-Oeste,"44,373033803957135",317,48,jun./2023,-317
MS,Dourados,Centro-Oeste,"52,035097101679156",163,10,jun./2023,-163
MS,Ponta Porã,Centro-Oeste,"41,312109981319765",373,-15,jun./2023,-373
MS,Três Lagoas,Centro-Oeste,"52,17930526736002",159,-65,jun./2023,-159
MT,Cáceres,Centro-Oeste,"43,74869303315161",330,-10,jun./2023,-330
MT,Cuiabá,Centro-Oeste,"52,89367344085014",139,-21,jun./2023,-139
MT,Lucas do Rio Verde,Centro-Oeste,"52,39551292175242",152,0,jun./2023,-152
MT,Primavera do Leste,Centro-Oeste,"45,68855002",291,0,jun./2023,-291
MT,Rondonópolis,Centro-Oeste,"50,838703915708294",189,-6,jun./2023,-189
MT,Sinop,Centro-Oeste,"51,96975459131828",165,-46,jun./2023,-165
MT,Sorriso,Centro-Oeste,"51,594278466703884",177,-16,jun./2023,-177
MT,Tangará da Serra,Centro-Oeste,"48,34402946107869",245,-58,jun./2023,-245
MT,Várzea Grande,Centro-Oeste,"44,583920938540054",312,4,jun./2023,-312
GO,Águas Lindas de Goiás,Centro-Oeste,"44,08527777329208",322,17,jun./2023,-322
GO,Anápolis,Centro-Oeste,"47,88010019908417",252,-15,jun./2023,-252
GO,Aparecida de Goiânia,Centro-Oeste,"45,05484896119839",304,-53,jun./2023,-304
GO,Caldas Novas,Centro-Oeste,"46,346479772733986",278,33,jun./2023,-278
GO,Catalão,Centro-Oeste,"46,04710802310283",286,-104,jun./2023,-286
GO,Cidade Ocidental,Centro-Oeste,"42,86875122287499",345,0,jun./2023,-345
GO,Formosa,Centro-Oeste,"43,95103642861844",324,23,jun./2023,-324
GO,Goiânia,Centro-Oeste,"52,91540773142517",138,-50,jun./2023,-138
GO,Itumbiara,Centro-Oeste,"49,48025717237223",219,-2,jun./2023,-219
GO,Jataí,Centro-Oeste,"50,232502648271385",204,-24,jun./2023,-204
GO,Luziânia,Centro-Oeste,"41,56140308643342",369,1,jun./2023,-369
GO,Novo Gama,Centro-Oeste,"41,94911848686189",362,16,jun./2023,-362
GO,Planaltina,Centro-Oeste,"42,49284300699345",351,-26,jun./2023,-351
GO,Rio Verde,Centro-Oeste,"52,811557370766664",140,11,jun./2023,-140
GO,Senador Canedo,Centro-Oeste,"42,24485284404915",359,-59,jun./2023,-359
GO,Trindade,Centro-Oeste,"45,534840862135745",295,-9,jun./2023,-295
GO,Valparaíso de Goiás,Centro-Oeste,"47,66851453769123",257,-4,jun./2023,-257
RO,Ariquemes,Norte,"46,46428664647741",299,16,jun./2022,-299
RO,Cacoal,Norte,"49,208421134221076",248,-8,jun./2022,-248
RO,Ji-Paraná,Norte,"51,59342650871255",197,-1,jun./2022,-197
RO,Porto Velho,Norte,"46,59347199218967",298,-27,jun./2022,-298
RO,Vilhena,Norte,"48,53445802788861",262,-12,jun./2022,-262
AC,Cruzeiro do Sul,Norte,"40,9345773",376,-10,jun./2022,-376
AC,Rio Branco,Norte,"50,72857928018696",215,-8,jun./2022,-215
AM,Coari,Norte,"36,43613934716397",408,-10,jun./2022,-408
AM,Itacoatiara,Norte,"39,82438570389087",387,-13,jun./2022,-387
AM,Manacapuru,Norte,"39,16514488",393,2,jun./2022,-393
AM,Manaus,Norte,"51,55983414034389",199,-54,jun./2022,-199
AM,Parintins,Norte,"41,84599446746209",366,23,jun./2022,-366
RR,Boa Vista,Norte,"50,356040530511514",226,-34,jun./2022,-226
PA,Abaetetuba,Norte,"40,17666924656964",385,16,jun./2022,-385
PA,Altamira,Norte,"40,57655783892696",380,2,jun./2022,-380
PA,Ananindeua,Norte,"41,33667692565237",372,-13,jun./2022,-372
PA,Barcarena,Norte,"44,21154681481547",337,15,jun./2022,-337
PA,Belém,Norte,"47,499076109787374",279,60,jun./2022,-279
PA,Bragança,Norte,"40,962031077055485",375,-7,jun./2022,-375
PA,Breves,Norte,"31,70501432159794",414,-4,jun./2022,-414
PA,Cametá,Norte,"38,568007156222116",399,8,jun./2022,-399
PA,Castanhal,Norte,"43,696826037670625",343,28,jun./2022,-343
PA,Itaituba,Norte,"37,56831865782419",403,-4,jun./2022,-403
PA,Marabá,Norte,"43,72630617655067",342,-18,jun./2022,-342
PA,Marituba,Norte,"40,317838502566794",383,21,jun./2022,-383
PA,Moju,Norte,"26,744836113828367",415,-4,jun./2022,-415
PA,Paragominas,Norte,"43,41010330284288",346,-12,jun./2022,-346
PA,Parauapebas,Norte,"51,56661782012356",198,27,jun./2022,-198
PA,Redenção,Norte,"38,78305563249879",398,-11,jun./2022,-398
PA,Santarém,Norte,"44,58183535109787",333,9,jun./2022,-333
PA,São Félix do Xingu,Norte,"35,99831502962425",410,-5,jun./2022,-410
PA,Tailândia,Norte,"36,77848340335213",407,2,jun./2022,-407
PA,Tucuruí,Norte,"40,86832003034801",377,31,jun./2022,-377
AP,Macapá,Norte,"40,53828951499618",382,-104,jun./2022,-382
AP,Santana,Norte,"41,81881791691643",367,29,jun./2022,-367
TO,Araguaína,Norte,"48,12627815710053",268,16,jun./2022,-268
TO,Gurupi,Norte,"49,332908242354115",244,-5,jun./2022,-244
TO,Palmas,Norte,"57,15667678343487",71,-10,jun./2022,-71
MA,Açailândia,Nordeste,"41,74390883054498",368,16,jun./2022,-368
MA,Bacabal,Nordeste,"43,29289943862505",348,31,jun./2022,-348
MA,Balsas,Nordeste,"41,39148847548321",371,7,jun./2022,-371
MA,Barra do Corda,Nordeste,"36,17237975212273",409,-15,jun./2022,-409
MA,Caxias,Nordeste,"39,01460444142595",395,-50,jun./2022,-395
MA,Chapadinha,Nordeste,"35,330654234896194",412,-10,jun./2022,-412
MA,Codó,Nordeste,"37,908678385284944",402,-14,jun./2022,-402
MA,Imperatriz,Nordeste,"48,19989341286933",266,-29,jun./2022,-266
MA,Paço do Lumiar,Nordeste,"42,11216316957164",364,12,jun./2022,-364
MA,Pinheiro,Nordeste,"37,12102327114629",404,2,jun./2022,-404
MA,Santa Inês,Nordeste,"38,978295031414824",396,-3,jun./2022,-396
MA,São José de Ribamar,Nordeste,"41,13131124962098",374,-2,jun./2022,-374
MA,São Luís,Nordeste,"50,65196542211645",218,-36,jun./2022,-218
MA,Timon,Nordeste,"43,98474231802361",341,10,jun./2022,-341
PI,Parnaíba,Nordeste,"45,81578493188912",310,8,jun./2022,-310
PI,Teresina,Nordeste,"53,451838344905234",159,-27,jun./2022,-159
CE,Aquiraz,Nordeste,"42,74027124818647",359,-55,jun./2022,-359
CE,Caucaia,Nordeste,"43,27639942482837",349,-63,jun./2022,-349
CE,Crato,Nordeste,"49,624713963758445",238,-3,jun./2022,-238
CE,Fortaleza,Nordeste,"54,49106081835765",125,1,jun./2022,-125
CE,Iguatu,Nordeste,"47,48048417781585",281,-36,jun./2022,-281
CE,Itapipoca,Nordeste,"44,835104280329304",328,-30,jun./2022,-328
CE,Juazeiro do Norte,Nordeste,"47,49569136352345",280,-39,jun./2022,-280
CE,Maracanaú,Nordeste,"47,28192083210083",284,-30,jun./2022,-284
CE,Maranguape,Nordeste,"40,19252911857748",384,-43,jun./2022,-384
CE,Pacatuba,Nordeste,"43,062221682671385",354,-21,jun./2022,-354
CE,Quixadá,Nordeste,"43,00164819952819",356,-39,jun./2022,-356
CE,Quixeramobim,Nordeste,"47,10742502446829",288,23,jun./2022,-288
CE,Sobral,Nordeste,"53,52784558",154,-71,jun./2022,-154
RN,Parnamirim,Nordeste,"47,75352231",274,-25,jun./2022,-274
RN,Macaíba,Nordeste,"41,136893111023994",373,-3,jun./2022,-373
RN,Mossoró,Nordeste,"47,93294731573519",271,-27,jun./2022,-271
RN,Natal,Nordeste,"51,14959664720064",205,-3,jun./2022,-205
RN,São Gonçalo do Amarante,Nordeste,"44,74180547941901",330,8,jun./2022,-330
PB,Bayeux,Nordeste,"35,37574948377006",411,-30,jun./2022,-411
PB,Campina Grande,Nordeste,"52,86867260305824",172,-8,jun./2022,-172
PB,João Pessoa,Nordeste,"53,997487691236635",142,-35,jun./2022,-142
PB,Patos,Nordeste,"47,060383036704806",289,14,jun./2022,-289
PB,Santa Rita,Nordeste,"39,81302300139471",389,-27,jun./2022,-389
PE,Abreu e Lima,Nordeste,"46,04316830625573",305,5,jun./2022,-305
PE,Araripina,Nordeste,"43,243556290278356",352,-22,jun./2022,-352
PE,Cabo de Santo Agostinho,Nordeste,"44,392446272662085",335,-21,jun./2022,-335
PE,Camaragibe,Nordeste,"43,18509643199613",353,7,jun./2022,-353
PE,Carpina,Nordeste,"44,90509139",326,-4,jun./2022,-326
PE,Caruaru,Nordeste,"52,09235235935657",189,-12,jun./2022,-189
PE,Garanhuns,Nordeste,"48,876540796909254",254,4,jun./2022,-254
PE,Goiana,Nordeste,"44,03360962670358",340,-5,jun./2022,-340
PE,Gravatá,Nordeste,"45,03433766509535",323,5,jun./2022,-323
PE,Igarassu,Nordeste,"44,64701707170656",332,-7,jun./2022,-332
PE,Ipojuca,Nordeste,"45,08897177963021",321,5,jun./2022,-321
PE,Jaboatão dos Guararapes,Nordeste,"45,56882662915043",315,-6,jun./2022,-315
PE,Olinda,Nordeste,"47,54757544319427",277,-1,jun./2022,-277
PE,Paulista,Nordeste,"47,503311161960326",278,12,jun./2022,-278
PE,Petrolina,Nordeste,"50,328413112464645",227,-15,jun./2022,-227
PE,Recife,Nordeste,"56,67905173497425",82,-27,jun./2022,-82
PE,Santa Cruz do Capibaribe,Nordeste,"43,60285986159181",344,-77,jun./2022,-344
PE,São Lourenço da Mata,Nordeste,"36,78578058423305",406,-26,jun./2022,-406
PE,Serra Talhada,Nordeste,"49,84689798911395",233,-6,jun./2022,-233
PE,Vitória de Santo Antão,Nordeste,"42,54965102288673",362,-42,jun./2022,-362
AL,Arapiraca,Nordeste,"46,430787727603565",302,52,jun./2022,-302
AL,Maceió,Nordeste,"49,97080082119175",230,-6,jun./2022,-230
SE,Aracaju,Nordeste,"51,09869153393429",207,25,jun./2022,-207
SE,Itabaiana,Nordeste,"42,25348291253013",363,4,jun./2022,-363
SE,Lagarto,Nordeste,"43,486682692927424",345,41,jun./2022,-345
SE,Nossa Senhora do Socorro,Nordeste,"40,56873508981333",381,2,jun./2022,-381
SE,São Cristóvão,Nordeste,"44,867815595578705",327,-30,jun./2022,-327
BA,Alagoinhas,Nordeste,"44,105001973140176",338,-7,jun./2022,-338
BA,Barreiras,Nordeste,"45,83574352828421",308,-8,jun./2022,-308
BA,Camaçari,Nordeste,"45,35458280526986",318,-49,jun./2022,-318
BA,Candeias,Nordeste,"39,81776116581775",388,-13,jun./2022,-388
BA,Dias d'Ávila,Nordeste,"39,443385963439205",392,-27,jun./2022,-392
BA,Eunápolis,Nordeste,"39,897568993357666",386,-23,jun./2022,-386
BA,Feira de Santana,Nordeste,"44,38306822289624",336,-13,jun./2022,-336
BA,Guanambi,Nordeste,"47,61200897",276,64,jun./2022,-276
BA,Ilhéus,Nordeste,"44,686246702321036",331,60,jun./2022,-331
BA,Itabuna,Nordeste,"43,02913349079555",355,-39,jun./2022,-355
BA,Jacobina,Nordeste,"44,97389286480649",324,8,jun./2022,-324
BA,Jequié,Nordeste,"42,56994539863571",361,-34,jun./2022,-361
BA,Juazeiro,Nordeste,"45,68305101810935",314,-26,jun./2022,-314
BA,Lauro de Freitas,Nordeste,"45,43724877227678",317,-54,jun./2022,-317
BA,Luís Eduardo Magalhães,Nordeste,"46,87406468977858",292,15,jun./2022,-292
BA,Paulo Afonso,Nordeste,"46,612291616672906",297,49,jun./2022,-297
BA,Porto Seguro,Nordeste,"39,13730890016549",394,-33,jun./2022,-394
BA,Salvador,Nordeste,"51,828693040074754",193,0,jun./2022,-193
BA,Santo Antônio de Jesus,Nordeste,"41,72402492752417",369,-33,jun./2022,-369
BA,Serrinha,Nordeste,"39,589546639501016",391,-36,jun./2022,-391
BA,Simões Filho,Nordeste,"39,65497618",390,-13,jun./2022,-390
BA,Teixeira de Freitas,Nordeste,"43,27068637",350,-21,jun./2022,-350
BA,Valença,Nordeste,"38,52034989283452",400,-8,jun./2022,-400
BA,Vitória da Conquista,Nordeste,"48,567168672988075",261,-42,jun./2022,-261
MG,Alfenas,Sudeste,"54,37470088779919",129,79,jun./2022,-129
MG,Araguari,Sudeste,"50,87527517846836",212,-31,jun./2022,-212
MG,Araxá,Sudeste,"56,02008951733499",90,18,jun./2022,-90
MG,Barbacena,Sudeste,"54,06493612516146",141,-10,jun./2022,-141
MG,Belo Horizonte,Sudeste,"61,38661731084578",12,4,jun./2022,-12
MG,Betim,Sudeste,"54,27644184288197",130,6,jun./2022,-130
MG,Caratinga,Sudeste,"49,47149784163325",241,15,jun./2022,-241
MG,Conselheiro Lafaiete,Sudeste,"53,94078366648124",144,8,jun./2022,-144
MG,Contagem,Sudeste,"53,49548731796452",156,-9,jun./2022,-156
MG,Coronel Fabriciano,Sudeste,"50,620800217506044",219,-41,jun./2022,-219
MG,Curvelo,Sudeste,"49,79220167826107",234,9,jun./2022,-234
MG,Divinópolis,Sudeste,"55,03790129089638",112,-11,jun./2022,-112
MG,Governador Valadares,Sudeste,"50,77597650052975",214,-9,jun./2022,-214
MG,Ibirité,Sudeste,"47,29392334646799",282,-36,jun./2022,-282
MG,Ipatinga,Sudeste,"54,66649139026242",120,-7,jun./2022,-120
MG,Itabira,Sudeste,"55,47191863644546",101,-16,jun./2022,-101
MG,Itajubá,Sudeste,"57,30397643152677",69,11,jun./2022,-69
MG,Itaúna,Sudeste,"55,56816970977304",98,2,jun./2022,-98
MG,Ituiutaba,Sudeste,"54,167236510583706",136,37,jun./2022,-136
MG,João Monlevade,Sudeste,"54,173815638766754",135,-8,jun./2022,-135
MG,Juiz de Fora,Sudeste,"55,635947244492094",95,-13,jun./2022,-95
MG,Lavras,Sudeste,"56,756994943682145",79,9,jun./2022,-79
MG,Manhuaçu,Sudeste,"50,921540602207216",211,49,jun./2022,-211
MG,Montes Claros,Sudeste,"52,791040326996225",174,-26,jun./2022,-174
MG,Muriaé,Sudeste,"51,99589035562923",191,-21,jun./2022,-191
MG,Nova Lima,Sudeste,"59,027296708408194",30,-1,jun./2022,-30
MG,Nova Serrana,Sudeste,"51,133226269563245",206,10,jun./2022,-206
MG,Paracatu,Sudeste,"50,01092567759158",229,19,jun./2022,-229
MG,Pará de Minas,Sudeste,"53,486433340264256",157,-6,jun./2022,-157
MG,Passos,Sudeste,"53,81554521993925",145,29,jun./2022,-145
MG,Patos de Minas,Sudeste,"55,29684686821462",105,23,jun./2022,-105
MG,Patrocínio,Sudeste,"52,22537159455073",185,-17,jun./2022,-185
MG,Poços de Caldas,Sudeste,"56,88283246",77,-2,jun./2022,-77
MG,Pouso Alegre,Sudeste,"58,46544646836273",41,21,jun./2022,-41
MG,Ribeirão das Neves,Sudeste,"45,08819753552662",322,-17,jun./2022,-322
MG,Sabará,Sudeste,"46,78407317291392",295,-30,jun./2022,-295
MG,Santa Luzia,Sudeste,"48,76578495322888",257,4,jun./2022,-257
MG,São João del Rei,Sudeste,"55,00986468",114,36,jun./2022,-114
MG,Sete Lagoas,Sudeste,"52,667717658153094",177,-5,jun./2022,-177
MG,Teófilo Otoni,Sudeste,"47,61774594918778",275,-11,jun./2022,-275
MG,Timóteo,Sudeste,"49,227981668040854",245,-16,jun./2022,-245
MG,Três Corações,Sudeste,"48,84022963298597",256,-35,jun./2022,-256
MG,Ubá,Sudeste,"49,225868881220144",246,-24,jun./2022,-246
MG,Uberaba,Sudeste,"55,58839689651292",97,-32,jun./2022,-97
MG,Uberlândia,Sudeste,"60,024298955483715",26,6,jun./2022,-26
MG,Unaí,Sudeste,"48,19030900786737",267,7,jun./2022,-267
MG,Varginha,Sudeste,"58,353244896027746",48,18,jun./2022,-48
MG,Vespasiano,Sudeste,"49,04188937",252,7,jun./2022,-252
ES,Aracruz,Sudeste,"52,95502931536124",168,38,jun./2022,-168
ES,Cachoeiro de Itapemirim,Sudeste,"53,01591360222706",165,-19,jun./2022,-165
ES,Cariacica,Sudeste,"49,10446183",249,-13,jun./2022,-249
ES,Colatina,Sudeste,"52,11462423351176",188,0,jun./2022,-188
ES,Guarapari,Sudeste,"50,52554553415877",222,4,jun./2022,-222
ES,Linhares,Sudeste,"52,02991025420319",190,0,jun./2022,-190
